date,delay,distance,origin,destination
01010001,14,405,MCI,MDW
01010530,-11,370,LAX,PHX
01010540,5,389,ONT,SMF
01010600,-5,337,OAK,LAX
01010600,3,303,MSY,HOU
01010605,5,236,LAS,LAX
01010610,-4,405,MDW,MCI
01010615,-2,188,RNO,SJC
01010615,0,197,FLL,TPA
01010615,0,399,SEA,BOI
01010615,5,562,ELP,DAL
01010620,-5,358,SMF,BUR
01010620,0,491,BNA,MCI
01010625,-6,361,ONT,OAK
01010625,0,313,MCI,OKC
01010625,1,271,MDW,SDF
01010625,5,689,SLC,SEA
01010630,-1,487,TPA,MSY
01010630,-10,399,BOI,SEA
01010630,-15,621,SJC,PHX
01010630,-2,361,OAK,ONT
01010630,-3,220,ISP,BWI
01010630,-3,397,SMF,LAS
01010630,-8,251,MDW,STL
01010630,-8,417,SJC,SAN
01010630,1,682,BWI,BHM
01010630,10,370,PHX,LAX
01010630,15,177,BHM,BNA
01010630,2,562,DAL,ELP
01010635,0,453,HOU,TUL
01010635,1,601,RNO,PHX
01010635,2,670,BNA,HOU
01010635,9,677,ABQ,LAX
01010640,-21,777,BDL,MDW
01010640,-8,197,ONT,LAS
01010640,3,833,OKC,PHX
01010640,5,495,SDF,BWI
01010645,-14,423,MDW,OMA
01010645,-14,605,SEA,SMF
01010645,-19,838,MHT,MDW
01010645,-5,223,LAS,BUR
01010645,-5,296,SJC,BUR
01010645,5,405,MCI,MDW
01010645,9,460,TPA,BHM
01010647,17,293,LBB,DAL
01010650,20,570,BHM,HOU
01010650,7,588,BWI,BNA
01010653,16,590,SLC,LAX
01010655,-19,1797,LAX,BNA
01010655,-28,1864,BWI,SLC
01010700,-10,1481,PDX,MCI
01010700,-10,361,OAK,ONT
01010700,-28,1235,LAS,HOU
01010700,-3,256,LAS,PHX
01010700,-3,588,SLC,OAK
01010700,-4,423,OMA,MDW
01010700,-4,612,TPA,BNA
01010700,-5,1090,AUS,LAS
01010700,-5,296,BUR,SJC
01010700,-5,369,PHX,BUR
01010700,-5,407,OAK,LAS
01010700,-6,325,OAK,BUR
01010700,-7,236,LAS,LAX
01010700,0,223,BUR,LAS
01010700,0,303,MSY,HOU
01010700,1,358,BUR,SMF
01010700,12,550,MCO,MSY
01010700,17,284,MDW,CMH
01010700,4,307,CLE,MDW
01010704,-2,457,DTW,BNA
01010705,-1,471,MSY,BNA
01010705,-10,443,RDU,BNA
01010705,-15,677,LAX,ABQ
01010705,-18,1246,HOU,BWI
01010705,-5,188,SJC,RNO
01010705,-9,386,SJC,LAS
01010705,0,588,OAK,SLC
01010705,13,365,JAX,BHM
01010705,4,1072,MCO,MCI
01010705,7,967,MCI,BWI
01010706,-5,303,HOU,MSY
01010708,-14,765,ISP,MDW
01010710,-15,1959,OAK,BNA
01010710,-26,2277,PVD,PHX
01010710,-31,1599,SAN,MSY
01010710,-8,251,STL,MDW
01010710,0,1506,SDF,PHX
01010710,2,842,TPA,BWI
01010715,-12,515,IND,BWI
01010715,-13,1076,TUL,LAS
01010715,-2,447,SFO,SAN
01010715,-25,2106,BWI,LAS
01010715,-3,405,MCI,MDW
01010715,-3,546,GEG,SLC
01010715,-7,386,LAS,SJC
01010715,24,938,MHT,BNA
01010720,-13,1489,OAK,MCI
01010720,-20,632,RDU,MDW
01010720,-5,446,OAK,SAN
01010720,-8,762,PDX,LAS
